institution.name	institution.code	object_number	title	production.date.start	production.date.end	physical_description	collection	description_level	dimension.free	parts_reference	object_history_note	creator	acquisition.notes	content.person.name.type	content.person.name	content.subject.type	content.subject	accruals	system_of_arrangement	access_category.notes	environmental_condition.notes	part_of_reference	part_of.title	legal status
Black Country Living Museum	1430	KEN	Archibald Kenrick & Sons Limited	1670	1990	"The records of Archibald Kenrick & Sons consist of administration records, financial & accounting records, printed material, photographs and plans/maps/drawings.  The company's administration records and printed material records, due to their size, have been further divided  into mixed correspondence, land & property, certificates, employees, licences, newspapers/magazines, books & booklets and leaflets/posters/flyers.  The collection is a useful source for the study of the iron founding industry of the Black Country as well as for the history of iron founding in general."	Archibald Kenrick	fonds	28 boxes	KEN/A	The collection was retained by Archibald Kenrick & Sons.  The records were deposited on a loan basis in 1990 by Archibald Kenrick & Sons Ltd. for an initial period of five years.  The loan was then converted to a gift in 2006.	Archibald Kenrick & Sons	Archibald Kenrick & Sons	person	Archibald Kenrick	subject	Holloware.	Accruals are unlikely.	"These records have been arranged into five Series that best reflect the original order of the collection. The five Series comprise: Administration Records, Financial & Accounting Records, Printed Material, Photographs and Plans/Drawings/Maps.  Due to their sizes, the company's Administration Records have been further divided into five Sub-Series levels comprising Mixed Correspondence, Land & Property, Certificates, Employees and Licences and their Printed Material has been further divided into three Sub-Series comprising Newspapers & Magazines, Books & Booklets and Leaflets/Posters/Flyers."	Open				Public Record(s)
Black Country Living Museum	1430	KEN/A	Administration Records	1788	1980	Material relating to the administrative activities of Archibald Kenrick & Sons and its subsidiary companies.	Archibald Kenrick	series		KEN/A/1		Archibald Kenrick & Sons								Open		KEN	Archibald Kenrick & Sons Limited	
Black Country Living Museum	1430	KEN/A/1	Mixed Correspondence	1788	1980	Material relating to the mixed correspondence produced by Archibald Kenrick & Sons and its subsidiary companies.	Archibald Kenrick	sub-series		KEN/A/1/1		Archibald Kenrick & Sons								Open		KEN/A	Administration Records	
Black Country Living Museum	1430	KEN/A/1/1	Marketing Brief	1965	1965	Marketing brief for the launch of the Kenrick 'Shepherd' Mini-Meteor furniture castor.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/10	Advertising Schedule	1967-11	1967-11	Schedule of advertising for what is presumed to be the Kenrick 'Shepherd' furniture castor campaign for January to June 1968.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/100	Agreement	1927-05	1927-05	"An agreement between Archibald Kenrick & Sons Limited and The Standing Committee on Water Regulations of the British Waterworks Association (Incorporated) for the latter to use trade mark of the former (trade mark no. 295,008)."	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/101	Agreement	1929-06	1929-06	"An agreement between The National Gas Council of Great Britain and Ireland and the Parkinson Stove Company Limited and Archibald Kenrick & Sons Limited for the latter to manufacture gas cookers using the Council approved lead master patterns jigs and features used for the construction of gas cookers.  Document also contains gas cooker specifications, prices and a diagram."	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/102	Patent Pending	1945-10	1945-10	Information on a new sash pulley invented by Archibald Kenrick & Sons Limited (patent no. 89 applied for).	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Out		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/103	Advertising Campaign Material	1954	1974	"Sales figures, sales analyses, price lists and advertising schedules for the Kenrick 'Shepherd' furniture castor sales campaign."	Kenrick	item	1 bundle			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/104	Articles of Partnership	1875-03	1875-03	"Document detailing the business and trade partnership of John Arthur Kenrick, William Kenrick and George Hamilton Kenrick."	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/105	Power of Attorney	1914-02	1914-02	Document appointing Charles Herbert Holmes and Samuel Arthur Roberts to collect all debts in Calcutta or elsewhere in British East India or Ceylon on behalf of the Anglo American Tin Stamping Company Limited.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/106	Minutes	1944-05	1944-05	Minutes of meetings held by the Wrought Holloware Trade Employers' Association.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/107	Report	1971	1971	Report on public relations compiled by The PR Organisation for Archibald Kenrick & Sons Limited.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/108	Report	1965-10	1965-10	Report on merchandising compiled by P. A. Management Consultants Limited for Archibald Kenrick & Sons Limited.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/109	Report	1965	1965	Report on the proposed sales organisation compiled by P. A. Management Consultants Limited for Archibald Kenrick & Sons Limited.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/11	Advertising Schedule	1967-11	1967-12	Schedule of advertising for the Kenrick 'Shepherd' furniture castor campaign for 1968. Schedule also contains a supplementary press schedule and a summary of campaign expenditure for January to June 1968.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/110	Report	1965-09	1965-09	Report on the profitability of builders' ironmongery compiled by P. A. Management Consultants Limited for Archibald Kenrick & Sons Limited.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/111	Correspondence	1918	1928	"Mixed correspondence with reference to the interests of Archibald Kenrick & Sons Limited's dealings in India.  Bundle contains:1. Letter of correspondence.  1918.2. Minutes of a meeting of Anglo Enamelware Limited.  1918.3. Details on the formation of Enamelled Ironware Limited assigned to manufacture enamelled ironware in India for Archibald Kenrick & Sons Limited.  1918.4. Contract an subsequent correspondence between Enamelled Ironware Limited and Kilburn & Company as managing agents.  1918.5. Estimate of costs for the setting up and running of the Enamelled Ironware Limited factory building.  [1919-1920].6. Minutes of a meeting of Enamelled Ironware Limited and letter of correspondence.  [1921].7. Letters of correspondence between Archibald Kenrick & Sons Limited and Kilburn Brown & Company.  1922.8. Co-partnership agreements between Enamelled Ironware Limited and Kilburn Brown & Company (1918), Anglo Enamelware Limited (1919) and the Tata Iron & Steel Company Limited (1920).  An indenture between The Tata Iron & Steel Company Limited and Enamelled Ironware Limited (1922).9. Letters of personal correspondence.  1922-1923.10. Letters and documents referring to the liquidation of Enamelled Ironware Limited."	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/112	Report	1948-01	1948-01	Report from the Hardware Trade Alliance regarding the Board of Trade Resale Price Maintenance Enquiry.  Archibald Kenrick & Sons Limited are officers.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/113	Appraisal	1970	1980	An appraisal of the furniture market in the UK on behalf of Archibald Kenrick & Sons Limited.  Appraisal also contains a supplementary data sheet.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/114	Report	1937	1938	A investigative report on the business practices of Archibald Kenrick & Sons Limited and its subsidiary companies.  Report also contains four memoranda.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/115	Sales Correspondence	1972-04	1973-04	Correspondence detailing a conversations between Archibald Kenrick & Sons Limited and Tesco supermarket regarding  the sale of shopping trolley castors.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/116	Correspondence	1961	1965	Correspondence referring to an enquiry into the release of Kenrick 'Shepherd' furniture castors onto the German market.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/117	Correspondence	1965-05	1965-05	Correspondence relating to a proposal to set up the Association of British Castor Manufacturers.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/118	Research Notes	1957-12	1957-12	"Notes on the history of the Cast-Iron Holloware Makers' Association written by W. B. Kenrick, using information from minutes of meetings and other sources."	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/119	Open Letter	1959-05	1959-05	"Open letter from G. F. Shepherd, Australia, to Archibald Kenrick & Sons Limited giving a brief history of the development of the furniture castor."	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/12	Advertising Schedule	1968-04	1968-04	Schedule of advertising for what is presumed to be the Kenrick 'Shepherd' furniture castor campaign from July 1968 to June 1969.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/120	Assignment	1939-10	1939-10	"The Right Honourable A. Neville Chamberlain, Prime Minister of 10, Downing Street, London, as executor, to assign the goodwill of the company Thomas Sheldon & Company trading under the deceased Sir George Hamilton Kenrick, over to Archibald Kenrick & Sons Limited.  Document also contains a letter of correspondence."	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/121	Assignment	1932-11	1932-11	Assignment of the goodwill of Thomas Sheldon & Company Limited from the receiver of Thomas Sheldon & Company Limited (in liquidation) to Sir George Hamilton Kenrick.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/122	Assignment	1932-11	1932-11	Letter to Sir George Hamilton Kenrick confirming the transferral of the goodwill of Thomas Sheldon & Company Ltd. to the Bengal Foundry Company Limited.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/123	Agreement	1932-11	1932-11	Agreement between Sir George Hamilton Kenrick and The Bengal Foundry Company Ltd. to transfer the goodwill of Thomas Sheldon & Company from the former to the latter.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/124	Bankruptcy Documents	1902	1911	"Power of Attorney given to John Arthur, William, George Hamilton, John Archibald, Wilfrid Byng and Gerald William Kenrick, Harry Frith Parker and Frederick William Birkbeck in connection with the bankruptcy proceedings of Baldwin, Son & Company (Kenrick subsidiary company)."	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/125	Minutes & Correspondence	1916-06	1938-09	"Documents relating to the Cast-Iron Butt Hinge Makers' Association:No. 1: Minutes of meetings of the Cast-Iron Butt Makers' Association. 1916-1938.No. 2: Correspondence concerning the Pooling Scheme distribution of the Cast-Iron Butt Makers' Association. 1916-1937.No. 3: Booklet of the Rules and Regulations of the Cast-Iron Butt Hinge Makers' Association. 1914-1919."	Archibald Kenrick & Sons Limited	item	1 bundle			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/126	Memorandum & Articles of Association	1883	1883	Documents proclaiming Archibald Kenrick & Sons a Limited company.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/127	List of Trade Marks	1876	1896	"List includes country, numbers of trademarks issued, dates of first issue, class numbers and images."	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/128	Information Sheet	1952-02	1952-02	Sheet detailing the history of Archibald Kenrick & Sons Limited since 1935.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
